game_pk,game_date,bucket,pitch_name
822735,2026-05-20,Inning_3_leadoff,4-Seam Fastball
822735,2026-05-20,Inning_2_leadoff,Cutter
822735,2026-05-20,Batter_3,Sweeper
822735,2026-05-20,Batter_2,Sweeper
822735,2026-05-20,Batter_1,4-Seam Fastball
823610,2026-06-26,Inning_3_leadoff,Cutter
823610,2026-06-26,Inning_2_leadoff,4-Seam Fastball
823610,2026-06-26,Batter_3,Cutter
823610,2026-06-26,Batter_2,Slider
823610,2026-06-26,Batter_1,4-Seam Fastball
823602,2026-07-12,Inning_3_leadoff,Cutter
823602,2026-07-12,Inning_2_leadoff,4-Seam Fastball
823602,2026-07-12,Batter_3,Cutter
823602,2026-07-12,Batter_2,4-Seam Fastball
823602,2026-07-12,Batter_1,4-Seam Fastball
823760,2026-07-21,Inning_3_leadoff,Sweeper
823760,2026-07-21,Inning_2_leadoff,4-Seam Fastball
823760,2026-07-21,Batter_3,4-Seam Fastball
823760,2026-07-21,Batter_2,Cutter
823760,2026-07-21,Batter_1,4-Seam Fastball
823597,2026-07-27,Inning_3_leadoff,Slider
823597,2026-07-27,Inning_2_leadoff,Sweeper
823597,2026-07-27,Batter_3,Sinker
823597,2026-07-27,Batter_2,Cutter
823597,2026-07-27,Batter_1,Cutter
823594,2026-08-01,Inning_3_leadoff,Slider
823594,2026-08-01,Inning_2_leadoff,4-Seam Fastball
823594,2026-08-01,Batter_3,Cutter
823594,2026-08-01,Batter_2,Cutter
823594,2026-08-01,Batter_1,4-Seam Fastball
823349,2026-08-07,Inning_3_leadoff,Cutter
823349,2026-08-07,Inning_2_leadoff,Slider
823349,2026-08-07,Batter_3,Cutter
823349,2026-08-07,Batter_2,4-Seam Fastball
823349,2026-08-07,Batter_1,4-Seam Fastball
