bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,10,76.9
Batter_1,Cutter,3,23.1
Batter_2,4-Seam Fastball,4,30.8
Batter_2,Cutter,5,38.5
Batter_2,Slider,1,7.7
Batter_2,Sweeper,3,23.1
Batter_3,4-Seam Fastball,4,30.8
Batter_3,Cutter,5,38.5
Batter_3,Sinker,2,15.4
Batter_3,Sweeper,2,15.4
Inning_2_leadoff,4-Seam Fastball,8,61.5
Inning_2_leadoff,Cutter,3,23.1
Inning_2_leadoff,Slider,1,7.7
Inning_2_leadoff,Sweeper,1,7.7
Inning_3_leadoff,4-Seam Fastball,2,15.4
Inning_3_leadoff,Cutter,6,46.2
Inning_3_leadoff,Sinker,1,7.7
Inning_3_leadoff,Slider,1,7.7
Inning_3_leadoff,Sweeper,3,23.1
