game_pk,game_date,bucket,pitch_name
778537,2025-03-29,Inning_3_leadoff,FF
778537,2025-03-29,Inning_2_leadoff,SL
778537,2025-03-29,Batter_3,SI
778537,2025-03-29,Batter_2,SL
778454,2025-04-04,Inning_3_leadoff,SL
778454,2025-04-04,Inning_2_leadoff,SI
778454,2025-04-04,Batter_3,FF
778454,2025-04-04,Batter_2,FS
778382,2025-04-10,Inning_3_leadoff,SL
778382,2025-04-10,Inning_2_leadoff,SL
778382,2025-04-10,Batter_3,SI
778382,2025-04-10,Batter_2,SL
778298,2025-04-16,Inning_3_leadoff,FF
778298,2025-04-16,Inning_2_leadoff,FF
778298,2025-04-16,Batter_3,SL
778298,2025-04-16,Batter_2,SL
778212,2025-04-22,Inning_3_leadoff,FF
778212,2025-04-22,Inning_2_leadoff,FF
778212,2025-04-22,Batter_3,SL
778212,2025-04-22,Batter_2,FF
778146,2025-04-27,Inning_3_leadoff,SI
778146,2025-04-27,Inning_2_leadoff,FF
778146,2025-04-27,Batter_3,FF
778146,2025-04-27,Batter_2,SI
778074,2025-05-03,Inning_3_leadoff,FF
778074,2025-05-03,Inning_2_leadoff,FF
778074,2025-05-03,Batter_3,SL
778074,2025-05-03,Batter_2,SL
778002,2025-05-09,Inning_3_leadoff,FF
778002,2025-05-09,Inning_2_leadoff,FF
778002,2025-05-09,Batter_3,SL
778002,2025-05-09,Batter_2,FF
777913,2025-05-15,Inning_3_leadoff,FF
777913,2025-05-15,Inning_2_leadoff,FF
777913,2025-05-15,Batter_3,FF
777913,2025-05-15,Batter_2,FF
777848,2025-05-20,Inning_3_leadoff,FF
777848,2025-05-20,Inning_2_leadoff,FF
777848,2025-05-20,Batter_3,FF
777848,2025-05-20,Batter_2,FF
777762,2025-05-26,Inning_3_leadoff,FF
777762,2025-05-26,Inning_2_leadoff,FF
777762,2025-05-26,Batter_3,SI
777762,2025-05-26,Batter_2,FF
777693,2025-05-31,Inning_3_leadoff,FF
777693,2025-05-31,Inning_2_leadoff,SL
777693,2025-05-31,Batter_3,SL
777693,2025-05-31,Batter_2,FF
777625,2025-06-06,Inning_3_leadoff,SL
777625,2025-06-06,Inning_2_leadoff,SL
777625,2025-06-06,Batter_3,FF
777625,2025-06-06,Batter_2,SL
777561,2025-06-11,Inning_3_leadoff,FF
777561,2025-06-11,Inning_2_leadoff,SL
777561,2025-06-11,Batter_3,SL
777561,2025-06-11,Batter_2,FF
777477,2025-06-17,Inning_3_leadoff,SL
777477,2025-06-17,Inning_2_leadoff,SL
777477,2025-06-17,Batter_3,SL
777477,2025-06-17,Batter_2,SI
777409,2025-06-22,Inning_3_leadoff,SL
777409,2025-06-22,Inning_2_leadoff,SL
777409,2025-06-22,Batter_3,FS
777409,2025-06-22,Batter_2,FF
777330,2025-06-28,Inning_3_leadoff,FF
777330,2025-06-28,Inning_2_leadoff,FS
777330,2025-06-28,Batter_3,SL
777330,2025-06-28,Batter_2,SL
