game_pk,game_date,bucket,pitch_name
778555,2025-03-27,Inning_3_leadoff,FF
778555,2025-03-27,Inning_2_leadoff,FF
778555,2025-03-27,Batter_3,FC
778555,2025-03-27,Batter_2,FF
778482,2025-04-02,Inning_3_leadoff,FF
778482,2025-04-02,Inning_2_leadoff,ST
778482,2025-04-02,Batter_3,ST
778482,2025-04-02,Batter_2,ST
778406,2025-04-08,Inning_3_leadoff,FF
778406,2025-04-08,Inning_2_leadoff,FF
778406,2025-04-08,Batter_3,FF
778406,2025-04-08,Batter_2,FF
778336,2025-04-13,Inning_3_leadoff,FF
778336,2025-04-13,Inning_2_leadoff,FF
778336,2025-04-13,Batter_3,FF
778336,2025-04-13,Batter_2,FC
778274,2025-04-18,Inning_3_leadoff,FF
778274,2025-04-18,Inning_2_leadoff,FF
778274,2025-04-18,Batter_3,FF
778274,2025-04-18,Batter_2,FC
778203,2025-04-23,Inning_3_leadoff,FC
778203,2025-04-23,Inning_2_leadoff,FF
778203,2025-04-23,Batter_3,FF
778203,2025-04-23,Batter_2,FF
778131,2025-04-29,Inning_3_leadoff,CU
778131,2025-04-29,Inning_2_leadoff,FF
778131,2025-04-29,Batter_3,FF
778131,2025-04-29,Batter_2,FF
778040,2025-05-06,Inning_3_leadoff,FF
778040,2025-05-06,Inning_2_leadoff,FF
778040,2025-05-06,Batter_3,FF
778040,2025-05-06,Batter_2,FF
777971,2025-05-11,Inning_3_leadoff,FF
777971,2025-05-11,Inning_2_leadoff,FF
777971,2025-05-11,Batter_3,FC
777971,2025-05-11,Batter_2,FF
777894,2025-05-17,Inning_3_leadoff,FF
777894,2025-05-17,Inning_2_leadoff,FF
777894,2025-05-17,Batter_3,FC
777894,2025-05-17,Batter_2,FF
777804,2025-05-23,Inning_3_leadoff,FF
777804,2025-05-23,Inning_2_leadoff,ST
777804,2025-05-23,Batter_3,FF
777804,2025-05-23,Batter_2,FF
777723,2025-05-29,Inning_3_leadoff,FS
777723,2025-05-29,Inning_2_leadoff,FF
777723,2025-05-29,Batter_3,FF
777723,2025-05-29,Batter_2,FF
777578,2025-06-09,Inning_3_leadoff,SI
777578,2025-06-09,Inning_2_leadoff,SI
777578,2025-06-09,Batter_3,FF
777578,2025-06-09,Batter_2,FF
777499,2025-06-15,Inning_3_leadoff,FF
777499,2025-06-15,Inning_2_leadoff,FF
777499,2025-06-15,Batter_3,FF
777499,2025-06-15,Batter_2,FF
777437,2025-06-20,Inning_3_leadoff,FC
777437,2025-06-20,Inning_2_leadoff,FF
777437,2025-06-20,Batter_3,FF
777437,2025-06-20,Batter_2,FF
777366,2025-06-25,Inning_3_leadoff,FF
777366,2025-06-25,Inning_2_leadoff,FF
777366,2025-06-25,Batter_3,FF
777366,2025-06-25,Batter_2,FF
777306,2025-06-30,Inning_3_leadoff,SI
777306,2025-06-30,Inning_2_leadoff,FF
777306,2025-06-30,Batter_3,FF
777306,2025-06-30,Batter_2,FF
