bucket,pitch_name,count,pct
Batter_1,4-Seam Fastball,19,100.0
Batter_2,4-Seam Fastball,16,84.2
Batter_2,Sinker,3,15.8
Batter_3,4-Seam Fastball,14,73.7
Batter_3,Cutter,3,15.8
Batter_3,Split-Finger,1,5.3
Batter_3,Sweeper,1,5.3
Inning_2_leadoff,4-Seam Fastball,12,63.2
Inning_2_leadoff,Curveball,2,10.5
Inning_2_leadoff,Cutter,2,10.5
Inning_2_leadoff,Sinker,3,15.8
Inning_3_leadoff,4-Seam Fastball,12,66.7
Inning_3_leadoff,Curveball,2,11.1
Inning_3_leadoff,Cutter,1,5.6
Inning_3_leadoff,Sinker,2,11.1
Inning_3_leadoff,Sweeper,1,5.6
